Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID,Reg Cap generation (MW),Max Cap generation (MW),Max ROC/Min generation,Reg Cap consumption (MW),Max Cap consumption (MW),Max ROC/Min consumption,Maximum storage capacity ,Comments
AGL Dalrymple Pty Limited,Dalrymple North BESS,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-Dec,Y,DALNTH1,30,30,720,30,30,720,12.2,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-Mar,Y,ADPBA1G,7.76,6.15,2,,,,,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-Mar,Y,ADPBA1L,7.76,6.15,2,,,,,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1-Feb,Y,ADPMH1,1.44,1,-,,,,,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,ADPPV1,24.75,19,4,,,,,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Feb,Y,ADPPV2,0.2,0.2,-,,,,,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1,Y,ADPPV3,0.02,0.02,-,,,,,
Aldoga Solar Farm Pty Ltd,Aldoga Solar Farm ,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltalic Tracking Flat Panel,1-157,Y,ALDGASF1,535.213,387,77,,,,,
Snowy Hydro Limited,Angaston Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-30,Y,ANGAST1,50,50,14,,,,,
EDL Group Operations Pty Ltd,Appin Power Plant,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,Jan-54,N,APPIN,55.6,55,0,,,,,
Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-75,Y,ARWF1,241.59,241,50,,,,,
Iberdrola Australia Energy Markets Pty Ltd,Avonlie Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-70,Y,AVLSF1,254.1,190,38,,,,,
Alinta Energy Retail Sales Pty Ltd,Bairnsdale Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,BDL01,46,48,4,,,,,
Alinta Energy Retail Sales Pty Ltd,Bairnsdale Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,BDL02,46,48,4,,,,,
Birdwood Trading Pty Ltd,Baking Board Solar Farm,QLD1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jul,Y,BAKING1,17.5,14,,,,,,
Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-52,Y,BALDHWF1,106.6,106,600,,,,,
AGL Macquarie Pty Limited,Broken Hill Battery Energy Storage System,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-44,Y,BHB1,66,50,20,66,50,20,50,
BWF Nominees Pty Ltd as The Trustee for BWF Trust,Bango 973 Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-30,Y,BANGOWF1,159,155,31,,,,,
BWF Nominees Pty Ltd as The Trustee for BWF Trust,Bango 999 Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-16,Y,BANGOWF2,84.8,82,17,,,,,
