StationName,Region,FuelSourceDescriptor,DUID,Technology,latitude,longitude,Tech,RegMW,id,TEST,LENGHT,geo,checkgeo
Adelaide Desalination Plant,SA1,Battery,ADPBA1L,Renewable,,,Storage,,1,1,27, ,93
"Adelaide Desalination Plant, Battery Unit",SA1,Battery,ADPBA1G,Renewable,,,Storage,,2,1,41, ,93
Agl Kemps Creek,NSW1,Landfill Methane / Landfill Gas,AGLSITA1,Gas,,,Gas,1,3,1,15, ,93
Angaston Power Station,SA1,Diesel,ANGAST1,Fuel,-34.50394829,139.0242963,Fuel,50,4,1,22,-34.50394829 139.0242963,1
Appin Power Plant,NSW1,Waste Coal Mine Gas,APPIN,Coal,-34.210868,150.792711,Coal,55.6,5,1,17,-34.210868 150.792711,1
Ararat Wind Farm,VIC1,Wind,ARWF1,Renewable,-37.263393,143.082116,Wind,241.59,6,1,16,-37.263393 143.082116,1
Bairnsdale Power Station,VIC1,Natural Gas,BDL01,Gas,-37.8422305,147.5637253,Gas,47,7,1,24,-37.8422305 147.5637253,2
Bairnsdale Power Station,VIC1,Natural Gas,BDL02,Gas,-37.8422305,147.5637253,Gas,47,8,1,24,-37.8422305 147.5637253,2
Baking Board Solar Farm,QLD1,Solar,BAKING1,Renewable,-26.721166,150.55417,Solar,17,9,1,23,-26.721166 150.55417,1
Bald Hills Wind Farm,VIC1,Wind,BALDHWF1,Renewable,-38.75818898,145.9560624,Wind,106.6,10,1,20,-38.75818898 145.9560624,1
Ballarat Base Hospital Plant,VIC1,Natural Gas,BBASEHOS,Gas,-37.558774,143.847247,Gas,3,11,1,28,-37.558774 143.847247,1
Ballarat Battery Storage System,VIC1,Battery,BALBG1,Renewable,-37.567452,143.852741,Storage,30,12,1,31,-37.567452 143.852741,2
Ballarat Battery Storage System,VIC1,Battery,BALBL1,Renewable,-37.567452,143.852741,Storage,30,13,1,31,-37.567452 143.852741,2
Bango Wind Farm,NSW1,Wind,BANGOWF1,Renewable,-34.551511,148.732191,Wind,,14,1,15,-34.551511 148.732191,2
Bango Wind Farm,NSW1,Wind,BANGOWF2,Renewable,-34.551511,148.732191,Wind,,15,1,15,-34.551511 148.732191,2
